DATE,COVID
12/13/2020,141231
12/14/2020,142937
12/15/2020,144834
12/16/2020,146723
12/17/2020,148411
12/18/2020,150467
12/19/2020,152291
12/20/2020,152291
12/21/2020,155478
12/22/2020,156166
12/23/2020,158750
12/24/2020,160569
12/25/2020,160569
12/26/2020,163484
12/27/2020,163484
12/28/2020,164673
12/29/2020,165318
12/30/2020,166285
12/31/2020,170032
1/1/2021,171850
1/2/2021,173634
1/3/2021,175591
1/4/2021,175591
1/5/2021,176731
1/6/2021,180524
1/7/2021,183447
1/8/2021,185829
1/9/2021,187893
1/10/2021,189730
1/11/2021,191163
1/12/2021,191163
1/13/2021,193483
1/14/2021,196134
1/15/2021,196134
1/16/2021,199260
1/17/2021,200597
1/18/2021,200597
1/19/2021,202471
1/20/2021,202471
1/21/2021,204369
1/22/2021,205926
1/23/2021,207240
1/24/2021,208147
1/25/2021,208147
1/26/2021,209726
1/27/2021,210581
1/28/2021,210581
1/29/2021,212575
1/30/2021,213384
1/31/2021,214108
2/1/2021,214780
2/2/2021,214780
2/3/2021,216121
2/4/2021,216817
2/5/2021,217521
2/6/2021,217521
2/7/2021,218739
2/8/2021,218739
2/9/2021,219183
2/10/2021,219602
2/11/2021,220710
2/12/2021,221215
2/13/2021,221949
2/14/2021,221949
2/15/2021,222429
2/16/2021,222916
2/17/2021,222916
2/18/2021,222916
2/19/2021,223960
2/20/2021,224227
2/21/2021,224469
2/22/2021,224469
2/23/2021,224944
2/24/2021,225301
2/25/2021,225820
2/26/2021,226120
2/27/2021,226469
2/28/2021,226701
3/1/2021,226701
3/2/2021,226701
3/3/2021,227455
3/4/2021,227771
3/5/2021,228083
3/6/2021,228492
3/7/2021,228492
3/8/2021,228806
3/9/2021,229156
3/10/2021,229415
3/11/2021,229415
3/12/2021,230758
3/13/2021,230758
3/14/2021,231277
3/15/2021,231416
3/16/2021,231710
3/17/2021,231710
3/18/2021,232174
3/19/2021,232382
3/20/2021,232595
3/21/2021,232595
3/22/2021,232808
3/23/2021,232808
3/24/2021,233110
3/25/2021,233305
3/26/2021,233671
3/27/2021,233889
3/28/2021,234031
3/29/2021,234031
3/30/2021,234300
3/31/2021,234549
4/1/2021,234803
4/2/2021,234803
4/3/2021,235444
4/4/2021,235590
4/5/2021,235695
4/6/2021,235900
4/7/2021,236130
4/8/2021,236483
4/9/2021,237037
4/10/2021,237737
4/11/2021,238008
4/12/2021,238245
4/13/2021,238555
4/14/2021,238853
4/15/2021,239293
4/16/2021,239748
4/17/2021,239748
4/18/2021,239748
4/19/2021,240307
4/20/2021,240574
4/21/2021,240909
